RUN ID                                STATUS                EVENTS  STARTED               LAST ACTIVITY       
00000000-0000-4000-8000-000000000000  not-started                3  2025-07-15 08:00:00Z  2025-07-15 08:05:00Z
00000000-0000-4000-8000-000000000001  running                    6  2025-07-15 08:01:00Z  2025-07-15 08:06:00Z
00000000-0000-4000-8000-000000000002  awaiting-model             9  2025-07-15 08:02:00Z  2025-07-15 08:07:00Z
00000000-0000-4000-8000-000000000003  awaiting-tool             12  2025-07-15 08:03:00Z  2025-07-15 08:08:00Z
00000000-0000-4000-8000-000000000004  suspended                 15  2025-07-15 08:04:00Z  2025-07-15 08:09:00Z
00000000-0000-4000-8000-000000000005  budget-exceeded           18  2025-07-15 08:05:00Z  2025-07-15 08:10:00Z
00000000-0000-4000-8000-000000000006  needs-reconciliation      21  2025-07-15 08:06:00Z  2025-07-15 08:11:00Z
00000000-0000-4000-8000-000000000007  completed                 24  2025-07-15 08:07:00Z  2025-07-15 08:12:00Z
00000000-0000-4000-8000-000000000008  failed                    27  2025-07-15 08:08:00Z  2025-07-15 08:13:00Z
00000000-0000-4000-8000-000000000009  abandoned                 30  2025-07-15 08:09:00Z  2025-07-15 08:14:00Z
